,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
6385,6/5/2021,64625,20PNR2VA,223,12,Full Strip,32:30.4,175,14548890,Internal,Archtics,12
6386,6/7/2021,64626,20PNR2VB,223,12,Full Strip,32:30.4,175,14548890,Internal,Archtics,12
6387,6/5/2021,64625,20PNR2VA,10,16,Full Strip,50:15.5,370,31649004,Internal,Archtics,2
6388,6/7/2021,64626,20PNR2VB,10,16,Full Strip,50:15.5,370,31649004,Internal,Archtics,2
6389,6/5/2021,64625,20PNR2VA,223,21,Full Strip,49:47.3,160,6240760,Internal,Archtics,3
6390,6/7/2021,64626,20PNR2VB,223,21,Full Strip,49:47.3,160,6240760,Internal,Archtics,3
6391,6/5/2021,64625,20PNR2VA,7,11,Full Strip,51:30.0,600,5709360,Internal,Archtics,18
6392,6/7/2021,64626,20PNR2VB,7,11,Full Strip,51:30.0,600,5709360,Internal,Archtics,18
6393,6/5/2021,64625,20PNR2VA,120,4,Full Strip,51:46.2,295,20074534,Internal,Archtics,6
6394,6/7/2021,64626,20PNR2VB,120,4,Full Strip,51:46.2,295,20074534,Internal,Archtics,6
6395,6/7/2021,64626,20PNR2VB,120,4,Full Strip,51:46.2,295,20074534,Internal,Archtics,3
6396,6/7/2021,64626,20PNR2VB,120,4,Full Strip,51:46.2,295,20074534,Internal,Archtics,5
6397,6/5/2021,64625,20PNR2VA,10,19,Full Strip,51:46.1,345,32046949,Internal,Archtics,8
6398,6/7/2021,64626,20PNR2VB,10,19,Full Strip,51:46.1,345,32046949,Internal,Archtics,8
6399,6/5/2021,64625,20PNR2VA,223,22,Full Strip,59:08.8,160,26764464,Internal,Archtics,6
6400,6/7/2021,64626,20PNR2VB,223,22,Full Strip,59:08.8,160,26764464,Internal,Archtics,6
6401,6/5/2021,64625,20PNR2VA,10,17,Full Strip,47:09.2,370,13968537,Internal,Archtics,8
6402,6/7/2021,64626,20PNR2VB,10,17,Full Strip,47:09.2,370,13968537,Internal,Archtics,8
6403,6/7/2021,64626,20PNR2VB,VIP24,2,Full Strip,08:31.7,1515,13146092,Internal,Archtics,2
6404,6/5/2021,64625,20PNR2VA,VIP24,2,Full Strip,08:34.2,1515,13146092,Internal,Archtics,2
6405,6/5/2021,64625,20PNR2VA,24,11,Full Strip,28:27.0,670,13146092,Internal,Archtics,4
6406,6/7/2021,64626,20PNR2VB,24,11,Full Strip,28:27.0,670,13146092,Internal,Archtics,4
6407,6/5/2021,64625,20PNR2VA,223,19,Full Strip,34:07.6,160,31654606,Internal,Archtics,13
6408,6/7/2021,64626,20PNR2VB,223,19,Full Strip,34:07.6,160,31654606,Internal,Archtics,13
6409,6/5/2021,64625,20PNR2VA,222,4,Full Strip,27:01.3,200,28314229,Internal,Archtics,20
