event_date	event_name	event_name_long	price_code	old_value	new_value	price_delta	upd_datetime	price_change_seq
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	G	870.00	585.00	-285.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	G	585.00	510.00	-75.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	F	955.00	635.00	-320.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	F	635.00	555.00	-80.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	E	1005.00	660.00	-345.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	E	660.00	580.00	-80.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	D	1200.00	790.00	-410.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	D	790.00	685.00	-105.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	C	1255.00	825.00	-430.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	C	825.00	720.00	-105.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	B	1370.00	890.00	-480.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	B	890.00	775.00	-115.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	A	1510.00	980.00	-530.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	A	980.00	860.00	-120.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	9	1595.00	1030.00	-565.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	9	1030.00	905.00	-125.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	8	1655.00	1070.00	-585.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	8	1070.00	940.00	-130.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	7	2365.00	5000.00	2635.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	7	5000.00	1280.00	-3720.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	7	1280.00	1250.00	-30.000000	2021-06-06 12:52:10.942	3
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	6	2425.00	5000.00	2575.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	6	5000.00	1640.00	-3360.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	6	1640.00	1610.00	-30.000000	2021-06-06 12:52:10.942	3
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	5	3240.00	5000.00	1760.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	5	5000.00	1950.00	-3050.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	4	6400.00	8000.00	1600.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	4	8000.00	9000.00	1000.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	3	8800.00	8000.00	-800.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	3	8000.00	9000.00	1000.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	2	8800.00	8000.00	-800.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	2	8000.00	9000.00	1000.000000	2021-06-01 18:52:15.719	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	1	8800.00	8000.00	-800.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	1	8000.00	9000.00	1000.000000	2021-06-01 18:52:15.719	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Z	860.00	495.00	-365.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Z	495.00	475.00	-20.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Y	225.00	155.00	-70.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Y	155.00	126.00	-29.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Y	126.00	99.00	-27.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Y	99.00	90.00	-9.000000	2021-06-06 12:52:05.376	4
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	X	230.00	165.00	-65.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	X	165.00	136.00	-29.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	X	136.00	135.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	W	255.00	175.00	-80.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	W	175.00	146.00	-29.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	W	146.00	145.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	V	275.00	195.00	-80.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	V	195.00	161.00	-34.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	V	161.00	160.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	U	305.00	220.00	-85.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	U	220.00	186.00	-34.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	U	186.00	185.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	T	340.00	240.00	-100.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	T	240.00	206.00	-34.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	T	206.00	205.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S	415.00	285.00	-130.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S	285.00	246.00	-39.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S	246.00	240.00	-6.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	R	415.00	285.00	-130.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	R	285.00	246.00	-39.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	R	246.00	240.00	-6.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Q	470.00	325.00	-145.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Q	325.00	276.00	-49.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	Q	276.00	275.00	-1.000000	2021-06-05 23:52:04.658	3
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	P	585.00	395.00	-190.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	P	395.00	340.00	-55.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	O	665.00	460.00	-205.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	O	460.00	395.00	-65.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	N	740.00	515.00	-225.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	N	515.00	445.00	-70.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	M	445.00	310.00	-135.000000	2021-05-31 19:52:10.814	1
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	M	310.00	261.00	-49.000000	2021-06-04 01:52:22.623	2
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	M	261.00	260.00	-1.000000	2021-06-05 23:52:04.658	3
